"TaxiID","Lon","Lat","datetime","Event","row_number"
"21554","116.2153","39.90035","20121105081223","1","224681"
"22264","116.4716","39.90867","20121105082215","1","364680"
"22394","116.5565","40.10781","20121105081159","1","381428"
"22784","116.4681","39.94279","20121105085301","1","455832"
"22784","116.4559","39.92139","20121105083706","1","456066"
"23864","116.3618","39.83355","20121105083047","1","517098"
"22954","116.3617","39.93925","20121105081105","1","486499"
"24114","116.5412","39.9595","20121105082714","1","547465"
"26472","116.5107","40.00006","20121105085453","1","605976"
"35469","116.4677","39.91212","20121105084100","1","665687"
"26491","116.2007","39.91805","20121105083130","1","627736"
"21584","116.3809","39.96717","20121105083701","1","234337"
"22214","116.3588","39.84686","20121105080545","1","359427"
"20074","116.3533","39.90854","20121105085317","1","29184"
"21054","116.3892","39.95136","20121105085205","1","147647"
"23864","116.33","39.82046","20121105081438","1","514987"
"22524","116.4798","39.8749","20121105080610","1","391151"
"26491","116.2073","39.90616","20121105084852","1","627738"
"24054","116.3731","39.9603","20121105085225","1","539698"
"24074","116.4151","39.98209","20121105082153","1","541420"
"26473","116.3475","39.87907","20121105083914","1","606596"
"50341","116.3094","39.97475","20121105085943","1","746941"
"26483","116.4845","39.80088","20121105083942","1","618305"
"24024","116.2744","39.95589","20121105084059","1","534034"
"26470","116.2762","40.06968","20121105085406","1","603154"
"35420","116.3756","39.88181","20121105083632","1","647074"
"63104","116.2829","39.86475","20121105084016","1","780081"
"63104","116.2656","39.87962","20121105084952","1","780556"
"26451","116.548","40.06426","20121105085035","1","575604"
"24024","116.1652","39.92281","20121105080817","1","530012"
"35420","116.3468","39.89389","20121105082446","1","647093"
"61147","116.3326","39.84739","20121105084513","1","770699"
"21204","116.3042","39.90783","20121105082514","1","196223"
"21204","116.3039","39.90183","20121105080953","1","196225"
"21884","116.42","39.92404","20121105085458","1","311516"
"21954","116.4071","40.05914","20121105083006","1","316460"
"22674","116.2892","39.90673","20121105085116","1","436890"
"50140","116.5154","40.08057","20121105081300","1","745447"
"21904","116.351","39.91736","20121105085917","1","314297"
"22674","116.2341","39.83407","20121105081812","1","436372"
"37164","116.3223","40.07669","20121105083124","1","706537"
"22564","116.3434","39.9226","20121105083750","1","409505"
"24074","116.327","39.98206","20121105085032","1","539993"
"50341","116.2296","40.06661","20121105081539","1","747682"
"1140","116.3085","39.93112","20121105083823","1","983"
"38614","116.3643","40.01217","20121105083425","1","722323"
"21884","116.4528","39.89764","20121105082736","1","310986"
"38684","116.422","39.84365","20121105080149","1","738276"
"50140","116.5275","40.06871","20121105083059","1","746464"
"21164","116.3623","39.93959","20121105080608","1","186646"
"53014","116.3464","39.90648","20121105085954","1","751990"
"24044","116.3616","39.88776","20121105083116","1","538104"
"24054","116.4411","39.95479","20121105083613","1","538474"
"26465","116.2984","39.92682","20121105083037","1","594945"
"26470","116.2986","40.05205","20121105083844","1","602333"
"26498","116.4067","40.07264","20121105081524","1","638865"
"22014","116.553","39.9495","20121105080648","1","327367"
"63204","116.5867","40.07813","20121105082533","1","812931"
"63450","116.447","39.87008","20121105080207","1","1157375"
"63402","116.2696","39.9204","20121105083223","1","869926"
"63403","116.1806","39.91029","20121105083311","1","872495"
"63432","116.4245","39.89523","20121105084705","1","1053725"
"37174","116.2732","39.8732","20121105081258","1","711678"
"37184","116.4608","40.00496","20121105081845","1","713882"
"63243","116.2191","39.90257","20121105081315","1","827789"
"35469","116.4295","39.9396","20121105082107","1","663712"
"50341","116.2716","40.025","20121105083446","1","746667"
"63400","116.4647","39.90722","20121105084245","1","855306"
"63184","116.3003","39.97374","20121105081932","1","800006"
"26466","116.351","39.87592","20121105085635","1","596952"
"61149","116.3742","39.99336","20121105082632","1","777463"
"37174","116.2256","39.88071","20121105083248","1","711698"
"22804","116.2447","40.20958","20121105082921","1","459516"
"63445","116.3157","39.95546","20121105084952","1","1127532"
"63104","116.4553","39.94293","20121105080014","1","779639"
"23834","116.3951","39.99677","20121105084149","1","509304"
"35420","116.4247","39.89199","20121105085420","1","647633"
"38614","116.3655","40.0084","20121105082742","1","723038"
"22524","116.4655","39.86661","20121105085944","1","391815"
"22844","116.4419","40.05928","20121105082433","1","465816"
"26494","116.3982","39.99363","20121105081950","1","632751"
"35824","116.4921","39.90709","20121105085630","1","686108"
"63404","116.1813","39.90598","20121105081425","1","882703"
"63434","116.2914","39.83247","20121105082136","1","1071621"
"63214","116.279","39.96531","20121105081925","1","816032"
"63430","116.4799","39.98921","20121105084053","1","1044145"
"63430","116.4542","39.98797","20121105084843","1","1044922"
"63455","116.2272","39.84583","20121105082958","1","1175141"
"35824","116.415","39.87753","20121105080953","1","686287"
"35834","116.2468","40.07312","20121105080432","1","687305"
"26472","116.4836","39.98536","20121105084337","1","605667"
"63394","116.438","39.88302","20121105081338","1","853261"
"1140","116.2931","39.92059","20121105082401","1","1186"
"25844","116.3246","40.03222","20121105080922","1","564092"
"38654","116.3152","39.87","20121105085356","1","728610"
"61147","116.329","39.82959","20121105085533","1","769909"
"63435","116.2679","39.9645","20121105082855","1","1072720"
"63450","116.4315","39.94373","20121105083848","1","1157369"
"63449","116.2216","39.84504","20121105083405","1","1148126"
"63464","116.3346","39.9127","20121105080303","1","1214579"
"63449","116.2726","39.89188","20121105084925","1","1149503"
"63479","116.3604","39.95662","20121105084530","1","1310652"
"63436","116.3282","39.78931","20121105084022","1","1079854"
"63423","116.1178","39.9565","20121105080813","1","997796"
"63458","116.4553","39.86671","20121105082721","1","1183865"
"63334","116.3453","39.89095","20121105080727","1","849769"
"21204","116.3145","39.89917","20121105083133","1","195460"
"21884","116.4288","39.91754","20121105084634","1","310807"
"25840","116.4304","39.91425","20121105085804","1","558270"
"63476","116.4292","39.91425","20121105085842","1","1283137"
"66541","116.3675","40.09933","20121105082814","1","1417946"
"35467","116.3072","39.89605","20121105080949","1","655683"
"63264","116.2961","39.89809","20121105082556","1","839226"
"63491","116.4724","40.00161","20121105081702","1","1366329"
"37114","116.2345","39.90277","20121105085158","1","697171"
"53064","116.2038","40.03312","20121105081239","1","759368"
"63184","116.2972","39.95802","20121105081018","1","800505"
"63184","116.3283","39.99143","20121105083340","1","803302"
"63184","116.3367","39.97552","20121105084336","1","803402"
"63446","116.1848","39.90607","20121105082707","1","1131745"
"21204","116.3134","39.88761","20121105085419","1","196721"
"21974","116.2587","39.90877","20121105084553","1","318572"
"37164","116.3676","40.09942","20121105080938","1","706534"
"37114","116.1716","39.92691","20121105080316","1","697210"
"37114","116.1852","39.93191","20121105083101","1","697942"
"61147","116.3148","39.87818","20121105083531","1","768438"
"63411","116.2822","39.87411","20121105083201","1","931884"
"63426","116.2587","39.90952","20121105080720","1","1021332"
"66734","116.3166","39.92252","20121105082119","1","1473289"
"66641","116.3836","39.88206","20121105080648","1","1441044"
"69184","116.2726","40.01276","20121105085454","1","1689324"
"63486","116.4553","39.94722","20121105084712","1","1342331"
