116.3045,39.88597,10
116.3424,39.87063,3
116.3081,39.88514,10
116.3097,39.98946,5
116.3079,39.89592,10
116.4615,39.94991,2
116.4348,39.93996,7
116.2822,39.94196,10
116.1724,39.92633,9
116.2164,39.90272,9
116.2282,40.06338,1
116.3061,39.85669,4
116.3664,39.88015,3
116.3931,39.86344,3
116.2812,39.96804,10
116.3718,40.00041,5
116.1813,39.92127,9
116.1897,39.91636,9
116.4258,39.92789,7
116.3584,39.86084,3
116.3769,39.86924,3
116.3282,40.06704,1
116.3475,39.89646,3
116.3923,39.99189,2
116.4649,39.99214,2
116.3489,39.92237,5
116.3279,39.92779,5
116.3892,39.95226,5
116.4114,39.95793,2
116.4281,39.86133,7
116.4148,39.87375,7
116.2684,40.02869,1
116.3624,39.84463,3
116.3634,39.98567,5
116.4213,39.98538,2
116.4407,39.97182,2
116.3884,39.96377,5
116.316,39.96253,5
116.4684,39.9884,2
116.3909,39.80156,3
116.3475,39.8753,3
116.2747,39.89902,10
116.4971,39.80826,6
116.1736,39.92486,9
116.3762,39.86695,3
116.4098,40.02537,2
116.2961,39.90778,10
116.5112,39.92996,6
116.3205,39.8486,4
116.4514,39.99883,2
116.4509,39.9566,2
116.3189,39.96563,5
116.4616,39.9956,2
116.3871,39.88444,3
116.364,39.86413,3
116.4062,40.06931,2
116.3585,39.9199,5
116.4834,39.98481,2
116.3943,39.99344,2
116.3921,39.95011,5
116.2806,39.92629,10
116.2003,39.91739,9
116.1859,39.92854,9
116.2338,39.83425,4
116.2006,39.93229,9
116.2284,39.90258,9
116.384,39.96672,5
116.327,39.92693,5
116.2801,39.84041,4
116.4521,39.95419,2
116.2803,39.92905,10
116.4713,39.82832,6
116.5769,39.92376,6
116.2621,40.13011,1
116.3782,39.89395,3
116.4599,39.95872,2
116.4138,39.95604,2
116.3743,39.99334,5
116.3323,40.02953,1
116.3684,40.08342,1
116.2587,39.88636,10
116.3343,39.98735,5
116.5112,39.93579,6
116.2707,39.90648,10
116.2003,39.91553,9
116.3238,39.79005,4
116.3529,39.8413,3
116.323,40.04428,1
116.2683,39.90546,10
116.2999,39.97842,5
116.3065,39.89606,10
116.4568,39.94439,7
116.2258,39.88773,9
116.346,39.93922,5
116.2887,39.96659,5
116.2077,39.90622,9
116.3594,39.9709,5
116.4972,39.9633,2
116.4811,39.97299,2
116.3524,39.91619,5
116.55,39.96454,6
116.3245,39.98438,5
116.4632,39.8397,6
116.3356,39.94629,5
116.2153,39.90035,9
116.4716,39.90867,7
116.5565,40.10781,8
116.4681,39.94279,7
116.4559,39.92139,7
116.3618,39.83355,3
116.3617,39.93925,5
116.5412,39.9595,6
116.4677,39.91212,7
116.2007,39.91805,9
116.3809,39.96717,5
116.3588,39.84686,3
116.3533,39.90854,3
116.3892,39.95136,5
116.33,39.82046,4
116.4798,39.8749,6
116.2073,39.90616,9
116.3731,39.9603,5
116.4151,39.98209,2
116.3475,39.87907,3
116.3094,39.97475,5
116.4845,39.80088,6
116.2744,39.95589,10
116.3756,39.88181,3
116.2829,39.86475,4
116.2656,39.87962,10
116.548,40.06426,8
116.1652,39.92281,9
116.3468,39.89389,3
116.3326,39.84739,3
116.3042,39.90783,10
116.3039,39.90183,10
116.42,39.92404,7
116.4071,40.05914,2
116.2892,39.90673,10
116.5154,40.08057,8
116.351,39.91736,5
116.2341,39.83407,4
116.3223,40.07669,1
116.3434,39.9226,5
116.327,39.98206,5
116.2296,40.06661,1
116.3085,39.93112,10
116.3643,40.01217,5
116.4528,39.89764,7
116.422,39.84365,3
116.5275,40.06871,8
116.3623,39.93959,5
116.3464,39.90648,3
116.3616,39.88776,3
116.4411,39.95479,2
116.2984,39.92682,10
116.2986,40.05205,1
116.4067,40.07264,2
116.553,39.9495,6
116.5867,40.07813,8
116.447,39.87008,7
116.2696,39.9204,10
116.1806,39.91029,9
116.4245,39.89523,7
116.2732,39.8732,4
116.4608,40.00496,2
116.2191,39.90257,9
116.4295,39.9396,7
116.2716,40.025,1
116.4647,39.90722,7
116.3003,39.97374,5
116.351,39.87592,3
116.3742,39.99336,5
116.2256,39.88071,9
116.3157,39.95546,5
116.4553,39.94293,7
116.3951,39.99677,2
116.4247,39.89199,7
116.3655,40.0084,5
116.4655,39.86661,7
116.3982,39.99363,2
116.4921,39.90709,6
116.1813,39.90598,9
116.2914,39.83247,4
116.279,39.96531,10
116.4799,39.98921,2
116.4542,39.98797,2
116.2272,39.84583,4
116.415,39.87753,7
116.2468,40.07312,1
116.4836,39.98536,2
116.438,39.88302,7
116.2931,39.92059,10
116.3246,40.03222,1
116.3152,39.87,4
116.329,39.82959,4
116.2679,39.9645,10
116.4315,39.94373,7
116.2216,39.84504,4
116.3346,39.9127,5
116.2726,39.89188,10
116.3604,39.95662,5
116.3282,39.78931,4
116.1178,39.9565,9
116.4553,39.86671,7
116.3453,39.89095,3
116.3145,39.89917,10
116.4288,39.91754,7
116.4304,39.91425,7
116.4292,39.91425,7
116.3675,40.09933,1
116.3072,39.89605,10
116.2961,39.89809,10
116.4724,40.00161,2
116.2345,39.90277,9
116.2038,40.03312,1
116.2972,39.95802,5
116.3283,39.99143,5
116.3367,39.97552,5
116.1848,39.90607,9
116.3134,39.88761,10
116.2587,39.90877,10
116.3676,40.09942,1
116.1716,39.92691,9
116.1852,39.93191,9
116.3148,39.87818,10
116.2822,39.87411,10
116.2587,39.90952,10
116.3166,39.92252,10
116.3836,39.88206,3
116.2726,40.01276,1
116.4553,39.94722,2
116.4258,39.92768,7
116.3721,39.89921,3
116.4506,39.95518,2
116.3179,39.84646,4
116.2999,39.97842,5
116.3495,39.98017,5
116.2586,39.89032,10
116.2791,39.93085,10
116.3009,39.89599,10
116.4348,39.91615,7
116.293,39.88543,10
116.3669,39.98575,5
116.2808,39.92621,10
116.3332,39.93671,5
116.2449,39.84792,4
116.4074,39.91623,7
116.349,39.98014,5
116.3129,39.89623,10
116.3065,39.94184,10
116.3461,40.03882,1
116.3474,39.87178,3
116.3891,39.88411,3
116.2962,39.88855,10
116.2305,39.9026,9
116.1298,39.94468,9
116.4122,39.89524,7
116.1806,39.92095,9
116.2717,39.91635,10
116.1978,39.90611,9
116.395,39.95016,5
116.3297,39.88823,3
116.4609,39.92847,7
116.2689,39.90452,10
116.3151,39.86983,4
116.2988,39.98262,5
116.3256,39.90964,10
116.3671,40.00012,5
116.4054,40.11478,1
116.4207,39.93507,7
116.3474,39.92617,5
116.2689,39.92609,10
116.2782,39.95796,10
116.3961,39.81616,3
116.4574,39.92188,7
116.2585,39.90742,10
116.4031,39.99735,2
116.4982,40.00062,2
116.3486,39.92236,5
116.4275,39.89253,7
116.2888,39.90545,10
116.4577,39.98442,2
116.3033,39.90756,10
116.3744,39.95396,5
116.4826,39.79603,6
116.4116,39.85578,3
116.3046,39.88834,10
116.4518,40.00651,2
116.3954,39.96206,2
116.4399,39.92377,7
116.2754,39.95308,10
116.1561,39.92845,9
116.4235,39.90629,7
116.4636,39.91341,7
116.3159,40.02926,1
116.311,39.85606,4
116.3867,39.85585,3
116.3163,39.95548,5
116.3402,39.84505,3
116.3167,39.9656,5
116.3653,39.86421,3
116.2255,39.87546,9
116.3766,39.85586,3
